ref,term_kor,term_eng,def_kor
http://m.kmle.co.kr//ebook_terminology_view.php?Num=11&Md=9d871edbe2c8c9b27a93ec99beaee663&TitleLetter=%B0%A1%BD%BF%B0%ED%B8%A7%C1%FD%2C+%B3%F3%C8%E4%2C+%C3%E0%B3%F3%C1%F5%3A+empyema,"가슴고름집, 농흉, 축농증",empyema,    몸속의 공간에 차는 경우를 이르는 말. 아무 수식어가 없이 사용이 될 경우에는 대개 가슴속에 농이 차있는 가슴고름집을 이른다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=12&Md=32b34a896813a3f973e3e8f4f3ebf76c&TitleLetter=%B0%A1%BD%BF%BB%F9%3A+thymus%28gland%29,가슴샘,thymus(gland),    가슴의 앞 위쪽에 위치한 림프성 장기로서 사춘기에 최고의 무게에 달했다가 이후에 퇴축한다. 이것은 세포매개 면역(  주로 림프구에 의해 일어나며 자기와 다른 세포에 대한 인식과 이식거부반응에 관여함)기능의 발달과 성숙에 필요한 장기이며 회백적색으로 보통 정중면에서 결합조직에 의해 결합된 두 개의 엽으로 되어 있다. 가슴샘은 상피세포 림프구 가슴샘세포로 구성되어 있으며 전구세포가 가슴샘에 이행하여 림프구로 분화되고 그 대부분은 파괴되나 나머지는 림프구를 형성한다. 가슴샘은 또한 호르몬 유사물질인    등을 분비한다.    
http://m.kmle.co.kr//ebook_terminology_view.php?Num=13&Md=f747edbdda2f2d577b55de30ff3ad00f&TitleLetter=%B0%A1%BD%BF%BE%B2%B8%B2%3A+heartburn,가슴쓰림,heartburn,    식도와 위의 윗부분이 쓰리고 아픈 증상. 산성의 위액이 식도에 올라와 점막을 자극하거나 식도 아랫부분에 많은 양의 액체가 갑자기 흘러 들어갈 때 생기는 증상이다. 위산과다 혹은 소화성괴양에 의해서 일어날 수도 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=14&Md=9a13333d315329d0303f6eb0121859cc&TitleLetter=%B0%A1%BD%BF%C0%FD%B0%B3%BC%FA%3A+,가슴절개술,,   개흉술 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=15&Md=5b0d687189864daea0ba4369fbe06bbe&TitleLetter=%B0%A1%BD%C0%B1%E2%3A+humidifier,가습기,humidifier,    수증기를 내어 실내의 습도를 조절하는 전기 기구. 실내의 공기는 적당한 습도( 정도)를 유지함으로써 호흡장애 및 질병을 예방할 수 있고 쾌적한 실내분위기를 유지할 수 있다. 실내에 적당한 증기가 없고 온도가 높아지면 건조해지기 쉽다. 이런 때 가습기로 공기 속의 습도를 조절할 수 있는데 전기에 의하여 깨끗한 물을 입자화하여 실내에 뿜어지게 하는 것이 원리이다. 종류는 원심분무식 가습기 초음파 가습기 전열식 가습기 필터기화식 가습기 등이 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=16&Md=f012360cc94d4adf7814f3dae3de825f&TitleLetter=%B0%A1%BD%C3%B5%B9%B1%E2%3A+spinous+process,가시돌기,spinous process,    가시처럼 생긴 척추뼈몸통의 돌기중 하나로서 척추뼈몸통의 뒷부분으로 뻗어 있으며 목뼈의 경우 첫번째 두번째 일곱번째를 제외하고는 끝이 둘로 갈라져 있으며 허리뼈의 경우 사각형으로서 척추뼈에 따라 모양이 다르다. 고개를 숙였을때 목뒤에서 만져지는 돌기는 일곱번째 목뼈의 가시돌기이다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=17&Md=a6e927eabf6b81b3d62f8a58e118c47f&TitleLetter=%B0%A1%BF%EE%B5%A5%B1%CD%2C+%C1%DF%C0%CC%3A+middle+ear,"가운데귀, 중이",middle ear,    귀는 바깥의 바깥귀 그리고 음을 전달하는 가운데귀 전달된 음을 신경이 알아들을 수 있도록 바꿔주는 기능의 속귀 이 가지로 구분되어 진다. 가운데귀는 고막에서부터 속귀까지 연결되는 곳까지인데 여기에 가지의 조그마한 뼈가 있어 고막에 울린 음이 속귀까지 전해지도록 해준다. 이때 이 뼈들과 고막의 작용으로 귀에 들린 음은 약 배정도의 확대효과가 나타난다. 속귀는 이렇게 해서 전해진 음을 코르티 기관에 의해서 신경이 알아 들을 수 있는 신호 전달체계로 바꾸어 뇌에 전해주는 역할을 한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=18&Md=a5ec89b77901bf613af21352a7c96cf8&TitleLetter=%B0%A1%C0%D3%BD%C5%3A+,가임신,,   거짓임신 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=19&Md=ebf6a095fc668e7483cd5a9b037f0123&TitleLetter=%B0%A1%C1%B7%BF%E4%B9%FD%3A+family+therapy,가족요법,family therapy,    가족을 치료 대상으로 하는 심리요법 중의 하나. 가족중의 문제는 문제를 가진 개인만이 아니라 문제 가족을 대상으로 해결해 나갈 필요가 있다는 인식을 바탕으로 하여 가족 전체의 심리적 성숙을 목표로 한 요법이다. 크게 나누어 가족 중의 특정인을 대상으로 하여 각각 다른 독립된 치료를 하는 병행심리요법과 가족 전체를 동시 면접하는 방법을 주로 하는 합동가족요법이 있는데 특히 후자를 가리켜 가족요법 이라고 하는 경우가 많다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=20&Md=c7541b41a02c366d6585e19336e21413&TitleLetter=%B0%A1%C1%F8%C5%EB%3A+false+labor,가진통,false labor,    분만진통과 비슷하나 효과가 없는 진통으로 자궁목의 확장이 일어나지 않는다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=21&Md=2b97019dbd09753125f7c8d4de4171e6&TitleLetter=%B0%A1%C7%D0%BC%BA+%C0%BD%B6%F5%C1%F5%3A+sadism,가학성 음란증,sadism,    정신의학 용어로서 성적 행위을 할 때 타인에게 통증이나 굴욕 또는 치욕을 줌으로써 만족을 얻는 비정상적인 행태를 일컫는다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=22&Md=5d90ca7875035a5346756471627cc043&TitleLetter=%B0%A2%B8%B7%3A+cornea,각막,cornea,    눈의 한 부분. 밖에서 볼 때 검은자 부위를 덮고 있는 볼록하고 투명한 부위를 이르는 말이다. 무색투명하고 볼록렌즈 모양으로 생겼다. 이 부분은 빛을 투과하고 또 빛을 꺽이게 하여 눈에서 필름부위에 해당하는 망막에 물체의 상이 맺히게 하는 역할을 한다. 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=23&Md=75a18c2e4c94aa0453b673c550631364&TitleLetter=%B0%A2%B8%B7%BF%B0%3A+keratitis,각막염,keratitis,    각막의 염증. 각막은 투명하고 가운데가 볼록하게 나온 조직이며 그 부분에 결핵 매독 등 전신성 전염병이나 트라코마 유행성 결막염 등 눈의 전염병 눈이 받는 물리적화학적 자극(외상이나 산알칼리 등) 등이 원인이 되어 변화를 일으키는 병이다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=24&Md=705ac62837e6b9baffeadf052bc05a90&TitleLetter=%B0%A2%B8%B7%C0%CC%BD%C4%BC%FA%3A+keratoplasty,각막이식술,keratoplasty,    각막혼탁으로 시력을 잃어버린 사람의 개안수술로서 행하여지는 것이다. 대부분의 경우 사망한 시체의 안구에서 채취한 새로운 각막을 환자의 혼탁된 각막을 절제한 면에 대치하여 그것이 자연히 유합되는 것을 기다리는 수술이다.    
http://m.kmle.co.kr//ebook_terminology_view.php?Num=25&Md=72adf2cbd8b42dfcd409e4e367bfd24d&TitleLetter=%B0%A2%C8%AD%C1%F5%3A+keratosis,각화증,keratosis,    피부 표피의 최상층에 있는 각질층이 증식변화하여 까칠까칠해지거나 굳어지는 피부병표피의 각질이 증식할 뿐만 아니라 때로는 털주머니의 각층이 표피의 각층보다도 심하게 증식하여 구진을 형성하는 수가 있다. 각질은 표피세포가 각화하여 생기는 것으로 정상적인 각화과정에서는 각층에 세포핵을 발견할 수 없다. 그런데 각질증식의 경우에는 세포핵이 잘 염색되어 존재한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=26&Md=793769394d53209894b0c97cdce6e28b&TitleLetter=%B0%A3%3A+liver,간,liver,    복강 오른쪽 위에 위치한 암적색의 커다란 장기. 그 반구형으로 융기된 위표면은 오른쪽 가로막 밑면에 밀접하게 부착되어 있으며 간동맥 및 문맥으로부터 이중의 혈액공급을 받는다. 이 장기는 간의 기능단위인 미세한 소엽(간소엽)으로 되어 있다. 그 다양한 기능에는 혈액의 저장 및 여과 담즙의 분비 빌리루빈 및 신체의 다른 곳에서 생성된 물질의 배출 당의 글리코겐으로의 전환 등을 포함한 다수의 대사기능이 있다. 이 장기는 생명에 필수적이다.     .   .     
http://m.kmle.co.kr//ebook_terminology_view.php?Num=27&Md=21a0d713a28e785e066d798d8ef7579e&TitleLetter=%B0%A3%B0%E6%C8%AD%28%C1%F5%29%3A+liver+cirrhosis,간경화(증),liver cirrhosis,    정상적인 간세포의 많은 부분이 소실이 되고 대신에 섬유조직으로 대치되어 있는 간의 병적 상태를 말한다. 간세포의 많은 손상을 가져오는 모든 병에서 간경화가 일어난다. 그러나 대부분의 간경화의 원인은 간염과 술에 의한 간손상이다.    간경화의 증상은 원인에 따라서 다음과 같은 두 가지로 나눌 수가 있다. 첫째는 우선 간의 기능의 장애에 의한 증상이다. 간세포의 상당수가 섬유조직으로 대체되어 있는 상태이므로 간의 기능의 장애가 생기는 것은 당연하다. 황달 등이 대표적 예라 하겠다. 두번째는 문맥압항진( )에 의한 증상들이다. 위 작은창자나 큰창자에서 영양분을 흡수하기위한 모세혈관조직은 모두 간으로 연결이 된다. 즉 소화기에서 흡수한 영양분이 가득한 피는 모두 간으로 연결되는데 이것을 문맥계( )라고 한다.    간경화의 경우에는 섬유성조직이 간조직을 거의 대치함으로 정상 간세포내에선 넓은 공간을 차지하던 간내의 혈관들이 섬유조직에 눌리게 된다. 그러면 이것과 연결된 문맥계의 압력도 높아지게 된다. 문맥압의 상승이 있는 경우에는 문맥계에 연결이 되어 있는 모든 부분의 정맥의 압력이 높아지고 정맥의 순환이 정지된 상태가 된다. 지라의 경우도 문맥계에 연결된 장기이므로 문맥압 상승시에는 정맥의 순환이 없어지고 동맥으로 유입이 되는 혈액은 계속 들어오므로 지라이 커지게 된다. 또 소화기의 모세혈관내에서의 압력도 높아지게 되고 그러면 그 압력에 의해서 많은 양의 수분이 모세혈관밖으로 빠져나오게 된다. 이 수분이 모여 복수가 된다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=28&Md=0f8aa2ae8caec46731fad44e5fb43234&TitleLetter=%B0%A3%B0%FC%3A+hepatic+duct,간관,hepatic duct,    간에서 생성된 담즙이 지나는 통로로 간에서 직접 담즙을 운반하는 관을 말한다. 간에서 만들어진 담즙은 간관 쓸개주머니관를 거쳐서 쓸개에 보관되었다가 온쓸개관을 통해서 샘창자로 보내진다.      .   . 
http://m.kmle.co.kr//ebook_terminology_view.php?Num=29&Md=85dde44d7e811346f1d8128abd96cea4&TitleLetter=%B0%A3%B1%E2%B4%C9%B0%CB%BB%E7%3A+liver+function+tests,간기능검사,liver function tests,    혈액검사중 가장 많이 쓰이는 검사법으로 다음 가지를 검사하게 된다. 혈청콜레스테롤 총단백질 알부민 빌리루빈  효소 알칼리인산분해효소( ) 등을 검사하게 되는 데 각 검사치에는 모두 의미가 있으며 이 검사 하나로 간기능의 전반적인 상태에 대해서 알아볼 수 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=30&Md=45143b8f0ea89ebc0e62b24335df68b3&TitleLetter=%B0%A3%B4%EB%BC%BA%B1%D9%B0%E6%B7%C3%28%C1%F5%29%3A+myoclonus,간대성근경련(증),myoclonus,    근육의 일부 근육 전체 또는 일군의 근육의 갑작스러운 수축으로서 신체의 일부영역에 제한되거나 혹은 여러 부위에서 동시성 또는 비동시성으로 나타난다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=31&Md=a0876a895f083685944f98d3ca15706a&TitleLetter=%B0%A3%B9%AE%B8%C6%B0%E8%3A+hepatic+portal+system,간문맥계,hepatic portal system,    위 작은창자이나 큰창자에서 영양분을 흡수하기 위한 모세혈관조직은 모두 간으로 연결된다. 즉 소화기에 흡수한 영양분이 가득한 피는 모두 간으로 연결되는데 이것을 문맥계라고 한다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=32&Md=f94801489e51da65d2e16a05a7bbb30b&TitleLetter=%B0%A3%BA%F1%B4%EB%3A+hepatomegaly,간비대,hepatomegaly,    간이 정상보다 크게 된 상태이며 여러 가지의 간염 지방간 울혈 간경화 간암 쓸개길병 혈액병 대사병(축적병)등에서 보는 일이 많다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=33&Md=63c0bcb42faf33dd145609051aa88e35&TitleLetter=%B0%A3%BB%FD%B0%CB%3A+liver+biopsy,간생검,liver biopsy,    사람이 살아있는 상태에서 병터를 잘라내어 직접 현미경 등으로 보아 진단을 내리는 진단법이다. 간생검은 주로 간염이나 간암의 진단이나 희귀한 유전병 선천병 등의 확진에 이용된다. 간염에서는 현재의 간염이 진행성인지 혹은 비진행성인지 또는 이미 간경화상태로 넘어갔는지 등의 여부를 알아보게 된다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=34&Md=054f7795c70b68db8dac28388e6e2ae3&TitleLetter=%B0%A3%BE%CF%3A+hepatoma,간암,hepatoma,    간세포에서 발생하는 간세포암()과 쓸개관상피세포에서 발생하는 쓸개관암종()이 있으며 드물게 소아에서 발생하는 간모세포종()이 있다. 일반적으로 간암이라고 하면 대부분 간세포에서 기원하는 간세포암종을 말한다. 원인은 대부분이 불분명하지만 간경화가 있는 경우가 많으며 간경화가 있는 환자와 만성 활동성 형 간염 혹은 형 간염 보균자에서 간암이 잘 생기는 것으로 밝혀져 있다. 증세는 서서히 나타나며 초기에는 잘 알 수 없으나 식욕부진 체중감소 복통 등을 일으킨다. 주로 간이 커져서 우상복부에서 딱딱하게 만져짐으로써 알 수 있는 경우가 많다. 간은 그 크기가 점점 커져서 정상시의 배에 이를 수 있으며 그 표면이 불규칙한 결절상의 종괴로 울퉁불퉁하다. 간암은 어느 정도 진행하면 급격하게 전신쇠약이 오며 경과가 매우 빨라서 곧 말기에는 이른다. 말기에 이르면 여러 가지 증세가 나타나는데 종괴에 의한 쓸갯길의 압박으로 황달이 나타나고 또 복부 내장의 혈류장애로 복수가 생기기도 한다. 복수는 황색일 때가 많고 때로는 혈액이 혼합되어 있을 때도 있다. 흔히 사용되는 검사로는 간기능검사 형간염표지자검사 간 동위원소촬영 복부초음파검사 복부컴퓨터단층촬영 간혈관조영술 혈증 알파태아단백()과 간 조직검사 등이 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=35&Md=1b283b0e4265a03814bbccc9a4ca33e1&TitleLetter=%B0%A3%BF%B0%3A+hepatitis,간염,hepatitis,    간에 생기는 염증을 통틀어 이르는 말. 발열황달전신권태소화 장애의 증상을 보이는데 주된 원인은 음식물과 혈액을 통한 바이러스 감염이며 그 밖에 약물 알코올 알레르기 등이 원인인 것도 있다. 이 간염은 그 지속기간에 따라서 급성간염과 만성간염으로 나누는데 만성간염은 개월 이상 간염이 지속되는 경우를 말하고 급성간염은 개월 이상 지속하지 못하는 경우를 말한다. 급성간염은 막연한 명칭으로서 간의 급성실질성 상해의 거의 전부를 포괄하는 넓은 개념이지만 실제는 바이러스의 감염으로 생기는 간염이 대부분이다. 바이러스성 간염은 유행선간염(형)과 혈청간염(형)의 두 종류가 있는데 이들은 모두 전염성 질환이지만 감염 경로는 다르다. 감염 경로로 유행선간염바이러스는 혈액샘창자액대변 중에서 증명되므로 전염된 물음식을 통하여 경구감염되거나 환자와의 직접 접촉에 의해서 감염된다. 혈청간염은 오로지 비경구적 감염으로 환자의 혈청 혈액의 주사 환자의 혈액에 감염된 주사기 등으로 감염된다. 잠복기는 유행성간염이 주간이고 혈청 간염은 주개월 가량 된다. 혈청간염은 유행의 계절연령과는 관계가 없으나 유행성간염은 주로 가을에서 겨울에 걸쳐 많고 청소년에 많다. 증세는 발병하기 주일 전부터 온몸이 노곤하고 식욕이 떨어지며 두통이 있고 상복부에 불쾌감이 생기는데 유행성간염에서는 황달이 나타나기 전에 발열( 전후)이 있을 때가 많고 수일 후에 해열된다. 또 관절허리가 아플 때도 있어 처음에는 감기로 오인할 때가 많다. 혈청간염은 이러한 초기 증세가 가볍고 서서히 발병하는 것이 많다. 주증세는 위장증세와 황달이며 식욕부진구토구역질 상복부의 둔통 등이 일어나며 발병 후 일에 황달이 나타난다. 황달은 주일을 전후하여 최고에 이르며 그 후 개월 사이에 없어지면서 다른 증세도 좋아진다. 경과는 급성간염은 약 가 대개 개월 이내에 치유되지만 빨리 치료되지 않는 것 중 가 만성간염으로 이행하며 그 일부는 간경화증으로 이행한다. 급성간염 중에는 때로는 일 이내에 사망하는 전격성간염이라고 하는 것도 있다. 병의 전체 경과 중 황달이 나타나지 않는 무황달성 간염이라고 하는 것도 있어. 만성간염으로 이행하는 것에는 이 무황달성이 많은 경향이 있다. 혈청간염도 만성화하기 쉽다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=36&Md=51b8f6f242a166f98fe9a2aae060f48e&TitleLetter=%B0%A3%C0%FD%C1%A6%28%BC%FA%29%3A+hepatectomy,간절제(술),hepatectomy,    부분적 또는 완전하게 간을 떼어내는 것.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=37&Md=7d821f7a41e0b940b057bc24f69f9d45&TitleLetter=%B0%A3%C1%FA%3A+epilepsy,간질,epilepsy,    돌발적이고 일과적인 발작을 특징으로 하는 만성 중추신경계 질환의 총칭이며 공통적으로 운동 지각 자율신경계 혹은 정신 증상을 나타내고 거의 모든 경우에 비정상적인 뇌파 양상을 나타낸다.    뇌조직의 병터 또는 기능적인 장애로 인하여 발작적으로 신경기능장애를 일으켜 여러 가지 신경증상 즉 돌발적인 의식상실 경련 정신 또는 감각장애를 일으키는 질환 전간 또는 지랄병이라고도 한다. 전인구의 약 .에서 볼 수 있는 흔한 질병으로서 종전엔 유전병이나 불치의 병으로 단정하여 치료를 기피하는 경향이 있었다. 그러나 간질의 원인과 치료면에서 근래에 많은 발전이 있어 현재는 약물치료와 뇌수술로써 간질 환자의 약 를 치유할 수 있다.    간질은 뇌의 이상이나 이에 따른 특징적인 신체증상도 같이 나타난다. 다양한 형태가 있으며 뇌파검사상 전반적인 뇌전체의 이상이 나타나면 전신발작( ())이라고 하며 일부의 뇌에서 이상이 나타나면 부분발작( )이라고 한다. 또한 전신발작에는 큰 팔다리의 운동과 의식소실 자율신경이상 등을 호소하는 가장 심한 형태의 대발작(  )와 잠깐의 의식소실만을 호소하는 소발작(  )가 있다. 그리고 부분발작에는 운동부위에만 이상이 나타나는 운동발작( ) 감각부위에만 이상이 나타나는 감각발작( ) 그리고 관자엽의 이상뇌파소견을 나타내는 관자엽 발작(  ) 등이 있다. 세 소아에 일어나고 단순히 의식소실(초간)을 나타낸다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=38&Md=5dfeed788e305f3687e500ca9629f01f&TitleLetter=%B0%A3%C6%AE%B8%AE%BD%C5%3A+gantrisin,간트리신,gantrisin,    항생제의 일종.  유도체로 과 비슷한 항균작용을 가지나 오줌에서의 용해도가 훨씬 높아서 오줌으로 더 많은 양의 이 약물이 배설되므로 요로감염에 주로 쓰이고 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=39&Md=b471cb9f35aafbc3867bcd0057eb0900&TitleLetter=%B0%A3%C7%E6%C0%FB%BE%E7%BE%D0%C8%A3%C8%ED%3A+intermittent+positive+pressure+breathing%28IPPB%29,간헐적양압호흡,intermittent positive pressure breathing(IPPB),    폐를 팽창시키기 위하여 대기압보다 높은 압력을 이용하는 인공호흡법이다. 신생아 무기폐의 치료나 만성 폐쇄성 호흡기 질환의 급성 악화시 진단을 위한 가래의 배출을 위하여 또는 약제의 흡입에 사용하고 있다. 합병증으로 공기가슴증이나 심박출량의 감소가 올 수 있다.
http://m.kmle.co.kr//ebook_terminology_view.php?Num=40&Md=c4f0e6e7dacbbe873fdf1b4b78e6f3e6&TitleLetter=%B0%A5%BA%F1%BB%C0%2C+%B4%C1%B0%F1%3A+rib,"갈비뼈, 늑골",rib,    등뼈(척추중 가슴부위에 있는 뼈)에서 체간 배쪽의 정중선쪽으로 뻗은 쌍의 굽은 뼈 중의 하나이다.    . 참갈비뼈 각각의 갈비뼈연골부가 복장뼈에 직접 닿아 있는 윗쪽 쌍의 갈비뼈를 말한다.    . 거짓갈비뼈 연골부가 직접 복장뼈에 닿아 있지 못한 아래쪽 쌍의 갈비뼈.   번째 갈비뼈의 연골부는 각각   번째 갈비뼈의 연골부에 연결되며  번째 갈비뼈의 연골부는 어디에도 연결되지 않고 자유롭게 떨어져 있다.    . 뜬갈비뼈 연골부가 어디에도 부착되지 않고 자유롭게 떨어져 있는  번째 갈비뼈를 말한다.
